street_address_and_name,zipcode,city,use_code,tax_assessment_year,tax_assessment_value,year_built,lot_size,finished_square_feet,bathrooms,bedrooms,zestimate_amount,region_name,region_type
7047 Wilbur Ave,91335,RESEDA,SingleFamily,2018,484e3,1948,8008,1190,1,2,527840,Reseda,neighborhood
1350 Constance St,90015,LOS ANGELES,Duplex,2018,221850,1910,7308,2696,2,6,836353,Pico-Union,neighborhood
1818 Bellevue Ave,90026,Los Angeles,SingleFamily,NA,NA,NA,NA,NA,1,1,907026,Echo Park,neighborhood
15232 Otsego St,91403,SHERMAN OAKS,SingleFamily,2018,651085,1947,6750,1577,2,2,912722,Sherman Oaks,neighborhood
1257 Woodruff Ave,90024,LOS ANGELES,SingleFamily,2018,1928980,1929,5965,3177,3.5,4,3125055,Westwood,neighborhood
5118 Vesper Ave,91403,SHERMAN OAKS,SingleFamily,2018,104023,1951,7148,1504,2,2,940114,Sherman Oaks,neighborhood
18816 Friar St,91335,Tarzana,SingleFamily,2018,252563,1969,5607,1661,2,3,703964,Tarzana,neighborhood
5432 Beeler Ave,91367,WOODLAND HILLS,SingleFamily,2018,128587,1963,13539,2572,4,4,1080065,Woodland Hills,neighborhood
830 Broad Ave,90744,WILMINGTON,SingleFamily,2018,304208,2002,7756,1643,2,3,516299,Wilmington,neighborhood
2349 Dallas St,90031,LOS ANGELES,SingleFamily,2018,340331,1926,5175,1366,2,3,760317,Elysian Valley,neighborhood
13144 Reedley St,91331,Arleta,SingleFamily,2018,288932,1976,5014,1075,2,3,499256,Arleta,neighborhood
16100 Filbert St,91342,SYLMAR,SingleFamily,2018,337558,1981,7038,1857,3,3,603155,Sylmar,neighborhood
8233 Fallbrook Ave,91304,CANOGA PARK,SingleFamily,2018,229263,1956,8398,2e3,2,3,690633,West Hills,neighborhood
574 W 14th St,90731,SAN PEDRO,SingleFamily,2018,473280,1951,6749,1322,1,2,521224,San Pedro,neighborhood
17162 Osborne St,91325,Sherwood Forest,SingleFamily,2018,780049,1951,17990,3443,4,4,1073463,Northridge,neighborhood
1619 W 39th Pl,90062,LOS ANGELES,SingleFamily,2018,365856,1912,5410,1448,2,3,625539,South Los Angeles,neighborhood
23170 Jonathan St,91304,CANOGA PARK,SingleFamily,2018,346850,1962,7929,1372,2,3,652762,West Hills,neighborhood
14917 Labrador St,91343,NORTH HILLS,SingleFamily,2018,495e3,1956,7634,1355,2,4,544098,North Hills,neighborhood
3116 Midvale Ave,90034,LOS ANGELES,SingleFamily,2018,1048707,1940,5252,1756,3,4,1555747,Palms,neighborhood
13653 Oak Canyon Ave,91423,SHERMAN OAKS,SingleFamily,2018,105576,1950,6154,910,1,1,983991,Sherman Oaks,neighborhood
23252 Strathern St,91304,CANOGA PARK,SingleFamily,2018,115875,1965,11110,2624,3,5,792761,West Hills,neighborhood
14027 S Menlo Ave,90247,GARDENA,SingleFamily,2018,186697,1948,6150,815,1,2,451158,Harbor Gateway,neighborhood
6020 Celedon Crk UNIT 6,90094,Playa Vista,Townhouse,2018,1430549,2005,31402,2140,2.5,3,1532137,Playa Vista,neighborhood
6020 Celedon Crk UNIT 2,90094,PLAYA VISTA,Townhouse,2018,1147500,2005,31402,1640,3,2,1208304,Playa Vista,neighborhood
6020 Celedon Crk UNIT 3,90094,PLAYA VISTA,MultiFamily2To4,2018,1404030,2005,31402,2140,2.5,3,1678696,Playa Vista,neighborhood
6020 Celedon Crk UNIT 11,90094,PLAYA VISTA,Townhouse,2018,1561224,2005,31402,3180,3.5,4,1836312,Playa Vista,neighborhood
6020 Celedon Crk UNIT 1,90094,PLAYA VISTA,Condominium,2018,827924,2005,31402,2340,4,4,1606450,Playa Vista,neighborhood
6020 Celedon Crk UNIT 12,90094,PLAYA VISTA,Townhouse,2018,960829,2005,31404,2160,3,2,1514331,Playa Vista,neighborhood
6020 Celedon Crk UNIT 8,90094,PLAYA VISTA,Condominium,2018,969955,2005,31402,2060,3,2,1378622,Playa Vista,neighborhood
6020 Celedon Crk UNIT 9,90094,PLAYA VISTA,Townhouse,2018,1356600,2005,31402,2140,3,3,1507627,Playa Vista,neighborhood
6020 Celedon Crk UNIT 4,90094,Playa Vista,Townhouse,2018,1172210,2005,31402,3130,3.5,3,1899333,Playa Vista,neighborhood
6020 Celedon Crk UNIT 13,90094,PLAYA VISTA,Townhouse,2018,579546,2005,31402,1530,2.5,2,1022146,Playa Vista,neighborhood
6020 Celedon Crk UNIT 7,90094,PLAYA VISTA,Townhouse,2018,1110355,2005,31402,3130,3.5,3,1899333,Playa Vista,neighborhood
6020 Celedon Crk UNIT 5,90094,PLAYA VISTA,Condominium,2018,860854,2005,31402,2060,3,2,1368457,Playa Vista,neighborhood
6020 Celedon Crk UNIT 10,90094,PLAYA VISTA,Condominium,2018,760081,2005,31402,1510,2,2,1017130,Playa Vista,neighborhood
14565 Polk St,91342,SYLMAR,Duplex,2018,14627,1955,6006,1664,2,4,535565,Sylmar,neighborhood
6916 S Figueroa St,90003,LOS ANGELES,SingleFamily,2018,398013,NA,7971,2277,NA,NA,554091,South Los Angeles,neighborhood
16594 Calneva Dr,91436,ENCINO,SingleFamily,2018,1109313,1965,14601,2114,2,3,1372378,Encino,neighborhood
8634 Hillside Ave,90069,Los Angeles,SingleFamily,2018,2984387,1978,4790,3667,4,4,3487102,Hollywood Hills,neighborhood
3067 Guirado St,90023,LOS ANGELES,SingleFamily,2018,48424,1959,6499,1205,2,3,452243,Boyle Heights,neighborhood
7809 Sadring Ave,91304,CANOGA PARK,SingleFamily,2018,820527,1984,11073,2826,2.5,4,878764,West Hills,neighborhood
1412 Calumet Ave,90026,LOS ANGELES,Quadruplex,2018,390363,1907,5244,4828,4,4,1554421,Echo Park,neighborhood
4846 Stern Ave,91423,SHERMAN OAKS,SingleFamily,2018,82472,1948,5914,1419,1,3,919644,Sherman Oaks,neighborhood
2825 La Cuesta Dr,90046,LOS ANGELES,SingleFamily,2018,1173e3,1960,6851,1746,2,3,1654757,Hollywood Hills,neighborhood
2655 La Cuesta Dr,90046,LOS ANGELES,SingleFamily,2018,105e4,1959,14823,1285,2,2,1733606,Hollywood Hills,neighborhood
2150 Ridgeview Ave,90041,LOS ANGELES,SingleFamily,2018,369388,1922,11580,2871,3,5,1611561,Eagle Rock,neighborhood
1277 N Norman Pl,90049,LOS ANGELES,SingleFamily,2018,2417552,1959,8606,3805,5,5,3585173,Brentwood,neighborhood
1834 Sunny Heights Dr,90065,LOS ANGELES,SingleFamily,2018,436546,1964,6523,1917,3,3,1080744,Mount Washington,neighborhood
7646 Kraft Ave,91605,NORTH HOLLYWOOD,SingleFamily,2018,147040,1944,6e3,993,1,3,501829,Sun Valley,neighborhood
21000 Parthenia St UNIT 10,91304,Los angeles,Condominium,2018,55095,1976,1163,692,1,1,226773,Canoga Park,neighborhood
21000 Parthenia St UNIT 18,91304,Los Angeles,Condominium,2018,112518,1976,32717,692,1,1,226815,Canoga Park,neighborhood
21000 Parthenia St UNIT 1,91304,Los angeles,Condominium,2018,262e3,1976,32717,901,2,2,273714,Canoga Park,neighborhood
21000 Parthenia St UNIT 9,91304,Los Angeles,Condominium,2018,244800,1976,1306,912,2,2,289865,Canoga Park,neighborhood
21000 Parthenia St UNIT 11,91304,Los angeles,Condominium,2018,99824,1976,32717,901,2,2,273716,Canoga Park,neighborhood
21000 Parthenia St UNIT 14,91304,Los Angeles,Condominium,2018,192473,1976,32717,698,1,1,227967,Canoga Park,neighborhood
21000 Parthenia St UNIT 17,91304,Los Angeles,Condominium,2018,214200,1976,32717,694,1,1,227757,Canoga Park,neighborhood
21000 Parthenia St UNIT 22,91304,Los Angeles,Condominium,2018,204e3,1976,32717,679,1,1,226776,Canoga Park,neighborhood
21000 Parthenia St UNIT 27,91304,Los Angeles,Condominium,2018,173400,1976,32716,901,2,2,273719,Canoga Park,neighborhood
21000 Parthenia St UNIT 28,91304,Los Angeles,Condominium,2018,202877,1976,43560,732,1,1,240916,Canoga Park,neighborhood
21000 Parthenia St,91304,Canoga Park,Condominium,NA,NA,1976,NA,679,1,1,264425,Canoga Park,neighborhood
21000 Parthenia St UNIT 12,91304,Los angeles,Condominium,2018,284e3,1976,32717,901,2,2,273714,Canoga Park,neighborhood
21000 Parthenia St UNIT 5,91304,Los angeles,Condominium,2018,141187,1976,32717,698,1,1,227964,Canoga Park,neighborhood
21000 Parthenia St UNIT 15,91304,Los angeles,Condominium,2018,178537,1976,32717,679,1,1,226764,Canoga Park,neighborhood
21000 Parthenia St UNIT 16,91304,Los angeles,Condominium,2018,197880,1976,32717,679,1,1,226970,Canoga Park,neighborhood
21000 Parthenia St UNIT 6,91304,Los Angeles,Condominium,2018,115798,1976,1163,679,1,1,226970,Canoga Park,neighborhood
21000 Parthenia St UNIT 7,91304,Los Angeles,Condominium,2018,90074,1976,32717,679,1,1,226766,Canoga Park,neighborhood
21000 Parthenia St UNIT 19,91304,Los angeles,Condominium,2018,87259,1976,1306,679,1,1,226766,Canoga Park,neighborhood
21000 Parthenia St UNIT 20,91304,Los Angeles,Condominium,2018,187271,1976,1306,912,2,2,286226,Canoga Park,neighborhood
21000 Parthenia St UNIT 21,91304,Los angeles,Condominium,2018,90748,1976,32717,679,1,1,226766,Canoga Park,neighborhood
21000 Parthenia St UNIT 8,91304,Los Angeles,Condominium,2018,114105,1976,1163,698,1,1,227964,Canoga Park,neighborhood
21000 Parthenia St UNIT 23,91304,Los angeles,Condominium,2018,95059,1976,32716,692,1,1,226792,Canoga Park,neighborhood
21000 Parthenia St UNIT 24,91304,Los Angeles,Condominium,2018,125997,1976,32717,704,1,1,228401,Canoga Park,neighborhood
21000 Parthenia St UNIT 25,91304,Los angeles,Condominium,2018,70058,1976,32717,960,2,2,302641,Canoga Park,neighborhood
21000 Parthenia St UNIT 26,91304,Los angeles,Condominium,2018,207928,1976,32716,960,2,2,301364,Canoga Park,neighborhood
28006 S Western Ave UNIT 253,90732,Los angeles,Condominium,2018,183979,1990,115869,770,1,1,334716,San Pedro,neighborhood
23701 S Western Ave SPACE 253,90501,Torrance,Mobile,2018,20554,1984,NA,920,NA,0,263249,Southeast Torrance,neighborhood
17016 Blanche Pl,91344,GRANADA HILLS,SingleFamily,2018,780968,1964,13281,2507,3,5,832312,Granada Hills,neighborhood
649 E 37th St,90011,LOS ANGELES,Apartment,2018,30756,1924,4800,2408,4,5,NA,Central City,neighborhood
1969 N Alexandria Ave,90027,LOS ANGELES,Duplex,2018,962257,1924,6749,1964,2,6,1295066,Los Feliz,neighborhood
13033 Sky Valley Rd,90049,LOS ANGELES,SingleFamily,2018,347237,1975,60263,2960,3,3,2180497,Brentwood,neighborhood
5059 Eaton St,90042,LOS ANGELES,MultiFamily2To4,2018,252312,1924,7509,690,3,3,798951,Eagle Rock,neighborhood
4118 Farmdale Ave,91604,STUDIO CITY,SingleFamily,2018,463263,1938,6732,2053,2,3,1436501,Studio City,neighborhood
647 Dimmick Dr,90065,LOS ANGELES,SingleFamily,2018,290473,1997,3907,3077,5,5,1187768,Mount Washington,neighborhood
5308 Campo Rd,91364,WOODLAND HILLS,SingleFamily,2018,58e4,1956,4791,1228,1.5,3,667412,Woodland Hills,neighborhood
4387 La Barca Dr,91356,TARZANA,SingleFamily,2018,1267517,1969,18305,3421,4,5,1454795,Tarzana,neighborhood
3322 Fithian Ave,90032,LOS ANGELES,SingleFamily,2018,130061,1929,4802,1224,1,3,622824,El Sereno,neighborhood
150 S Burlingame Ave,90049,LOS ANGELES,SingleFamily,2018,812331,1972,24038,5238,5,4,8468204,Brentwood,neighborhood
1231 Peck Dr,90035,LOS ANGELES,SingleFamily,2018,730003,1948,5911,2656,3,3,2595553,Cheviot Hills,neighborhood
3671 Mclaughlin Ave # DJWQFRS3Q,90066,Los Angeles,MultiFamily5Plus,NA,NA,NA,NA,NA,2,2,NA,Mar Vista,neighborhood
19736 Malden St,91306,WINNETKA,SingleFamily,2018,253921,1956,7451,2018,2,3,646096,Winnetka,neighborhood
2203 Virginia Rd,90016,LOS ANGELES,SingleFamily,2018,411372,1924,7706,2617,3,3,1104321,Mid City,neighborhood
1380 W Summerland Ave,90732,SAN PEDRO,SingleFamily,2018,93144,1941,4761,936,1,2,528319,San Pedro,neighborhood
10339 Larwin Ave,91311,CHATSWORTH,Condominium,2018,236864,1969,310157,2138,3,3,486740,Chatsworth,neighborhood
8061 Laurelgrove Ave,91605,NORTH HOLLYWOOD,SingleFamily,2018,324572,1948,8105,1498,2,3,597720,Sun Valley,neighborhood
1109 Coronado Ter,90026,LOS ANGELES,SingleFamily,2018,1029856,1912,7840,2282,3,4,1255901,Silver Lake,neighborhood
11312 Goss St,91352,SUN VALLEY,SingleFamily,2018,99055,1929,5639,1240,2,4,563916,Sun Valley,neighborhood
8051 Woodlake Ave,91304,CANOGA PARK,SingleFamily,2018,107904,1963,10177,2047,3,4,765418,West Hills,neighborhood
1854 Clyde Ave,90019,LOS ANGELES,SingleFamily,2018,71046,1939,5550,1408,2,3,917358,Mid City,neighborhood
17914 Hartland St,91335,RESEDA,SingleFamily,2018,206836,1950,6047,1054,2,2,528934,Reseda,neighborhood
2415 E 4th St,90033,LOS ANGELES,Duplex,2018,107233,1905,6513,2062,2,4,626640,Boyle Heights,neighborhood
1435 Talmadge St,90027,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,NA,2,2,1145920,Los Feliz,neighborhood
744 Chapala Dr,90272,PACIFIC PALISADES,SingleFamily,2018,4453687,2009,8340,6166,7,4,6614272,Pacific Palisades,neighborhood
20518 Archwood St,91306,WINNETKA,SingleFamily,2018,618e3,1954,8171,1362,2,4,630591,Winnetka,neighborhood
1139 Hyatt Ave,90744,Wilmington,Apartment,2018,260535,1930,6937,5912,10,8,NA,Wilmington,neighborhood
1139 Hyatt Ave APT F,90744,Wilmington,Apartment,NA,NA,NA,NA,NA,1,0,NA,Wilmington,neighborhood
1139 Hyatt Ave APT D,90744,Wilmington,Apartment,NA,NA,1930,NA,NA,1,0,NA,Wilmington,neighborhood
3800 Knobhill Dr,91423,Sherman Oaks,SingleFamily,2018,87462,NA,12546,NA,NA,0,NA,Sherman Oaks,neighborhood
3025 Johnston St,90031,LOS ANGELES,SingleFamily,2018,198061,1922,5748,732,1,2,477699,Lincoln Heights,neighborhood
5945 W 74th St,90045,LOS ANGELES,SingleFamily,2018,404997,1947,6360,1752,2,3,1257760,Westchester,neighborhood
12763 Willard St,91605,NORTH HOLLYWOOD,SingleFamily,2018,72526,1953,5971,1032,2,3,544823,Sun Valley,neighborhood
4384 Lemp Ave,91604,STUDIO CITY,SingleFamily,2018,1388413,1953,9104,2557,2,3,1670339,Studio City,neighborhood
3539 Cody Rd,91403,SHERMAN OAKS,SingleFamily,2018,1148576,1958,15115,2065,2,3,1442976,Sherman Oaks,neighborhood
1748 W 41st Pl,90062,LOS ANGELES,SingleFamily,2018,478583,1912,5749,1432,1,3,636666,South Los Angeles,neighborhood
5117 Williams Pl,90032,LOS ANGELES,SingleFamily,2018,156522,1928,5181,1374,2,3,631280,University Hills,neighborhood
1420 S Trotwood Ave,90732,SAN PEDRO,SingleFamily,2018,197115,1952,6600,1970,2,3,827386,San Pedro,neighborhood
8933 Gibson St,90034,LOS ANGELES,SingleFamily,2018,63944,1927,6603,1877,2,4,1498308,Crestview,neighborhood
18348 Lahey St,91326,PORTER RANCH,SingleFamily,2018,603431,1959,10367,1621,2,3,715318,Northridge,neighborhood
2370 Brookshire Ln,90077,LOS ANGELES,SingleFamily,2018,2011795,1994,7536,3990,4,4,2761764,Bel Air,neighborhood
1267 Stoner Ave APT 202,90025,Los Angeles,MultiFamily5Plus,NA,NA,1987,NA,1580,2,2,NA,Sawtelle,neighborhood
1267 Stoner Ave APT 203,90025,Los Angeles,Condominium,NA,NA,1988,NA,1500,2,2,1002618,Sawtelle,neighborhood
1267 Stoner Ave APT 301,90025,Los Angeles,Apartment,NA,NA,1988,NA,1700,2.5,2,NA,Sawtelle,neighborhood
1267 Stoner Ave APT 201,90025,Los Angeles,Apartment,NA,NA,1986,NA,1200,2,2,NA,Sawtelle,neighborhood
237 E 111th Pl,90061,LOS ANGELES,SingleFamily,2018,240956,1923,5222,1280,2,4,431043,Southeast Los Angeles,neighborhood
1300 E 49th St,90011,LOS ANGELES,SingleFamily,2018,366882,1908,5227,2176,2,4,506913,Southeast Los Angeles,neighborhood
8211 Noble Ave,91402,PANORAMA CITY,SingleFamily,2018,65450,1948,5227,1329,1,3,495809,Panorama City,neighborhood
8211 Tyrone Ave,91402,PANORAMA CITY,SingleFamily,2018,252028,1949,5577,896,2,2,481700,Panorama City,neighborhood
8211 Wakefield Ave,91402,PANORAMA CITY,SingleFamily,2018,333375,1949,5662,1596,2,4,553867,Panorama City,neighborhood
8211 Hazeltine Ave,91402,PANORAMA CITY,SingleFamily,2018,436560,1949,5498,832,1,2,466387,Panorama City,neighborhood
8211 Matilija Ave,91402,PANORAMA CITY,SingleFamily,2018,232494,1950,6098,1401,2,2,518162,Panorama City,neighborhood
8211 Mammoth Ave,91402,PANORAMA CITY,SingleFamily,2018,181010,1950,6014,1286,2,3,521860,Panorama City,neighborhood
13935 Runnymede St,91405,VAN NUYS,SingleFamily,2018,239125,1952,7694,1353,2,3,556773,Van Nuys,neighborhood
13935 Burbank Blvd 105 # 105,91401,Valley Glen,SingleFamily,NA,NA,NA,NA,1420,2,3,831309,Sherman Oaks,neighborhood
19541 Cardin Pl,91324,Northridge,Condominium,NA,NA,NA,NA,1462,2.5,3,449237,Northridge,neighborhood
3665 Colonial Ave,90066,LOS ANGELES,SingleFamily,2018,448153,1950,6015,1516,2,3,1623938,Mar Vista,neighborhood
2519 Lincoln Park Ave,90031,LOS ANGELES,SingleFamily,2018,123787,1908,7446,1090,2,2,562221,Lincoln Heights,neighborhood
731 N Croft Ave,90069,Los Angeles,Quadruplex,2018,144538,1926,6499,5016,4,8,2584796,Mid City West,neighborhood
1806 Alsace Ave,90019,LOS ANGELES,Duplex,2018,634918,1928,5516,2433,2,4,873562,Mid City,neighborhood
13816 Osborne St,91331,Arleta,SingleFamily,2018,476e3,1952,6534,1232,2,3,510637,Arleta,neighborhood
1246 Palms Blvd,90291,VENICE,SingleFamily,2018,2594285,1955,10886,4321,5,4,3728725,Venice,neighborhood
827 N Marine Ave APT 4,90744,Wilmington,MultiFamily2To4,NA,NA,NA,NA,NA,1,1,414909,Wilmington,neighborhood
827 N Marine Ave APT 1,90744,Wilmington,MultiFamily2To4,NA,NA,NA,NA,NA,1,1,413974,Wilmington,neighborhood
159 S Harvard Blvd,90004,LOS ANGELES,SingleFamily,2018,404011,1919,8276,1647,1.5,3,786214,Koreatown,neighborhood
14318 Cohasset St,91405,VAN NUYS,SingleFamily,2018,574e3,1954,7840,1570,2,3,582252,Van Nuys,neighborhood
8948 Wilbur Ave,91324,Northridge,SingleFamily,NA,NA,NA,NA,NA,1,2,580158,Northridge,neighborhood
3340 Scadlock Ln,91403,SHERMAN OAKS,SingleFamily,2018,1055200,1961,8260,1631,2,2,1250377,Sherman Oaks,neighborhood
8039 Mcnulty Ave,91306,WINNETKA,SingleFamily,2018,177560,1955,7500,1587,2,3,597360,Winnetka,neighborhood
16712 Jersey St,91344,GRANADA HILLS,SingleFamily,2018,178264,1953,7487,1263,2,3,565567,Granada Hills,neighborhood
5511 Poplar Blvd,90032,LOS ANGELES,SingleFamily,2018,NA,NA,5218,NA,NA,NA,829785,El Sereno,neighborhood
3713 S Victoria Ave,90016,LOS ANGELES,Quadruplex,2018,204879,1949,6599,3362,4,6,1072253,West Adams,neighborhood
5326 Rock View Ter,90041,LOS ANGELES,SingleFamily,2018,250081,1948,7497,1788,3,3,1258575,Eagle Rock,neighborhood
1446 W 64th St,90047,LOS ANGELES,SingleFamily,2018,114216,1924,4759,968,1,2,407922,South Los Angeles,neighborhood
7007 Haas Ave,90047,LOS ANGELES,SingleFamily,2018,324271,1926,4829,1035,1,2,461437,South Los Angeles,neighborhood
17347 Willard St,91325,NORTHRIDGE,SingleFamily,2018,192706,1951,5999,1214,1,3,546352,Lake Balboa,neighborhood
11211 Gerald Ave,91344,GRANADA HILLS,SingleFamily,2018,585e3,1955,7810,1346,2,4,575810,Granada Hills,neighborhood
5120 W Pico Blvd,90019,Los Angeles,SingleFamily,2018,310671,1940,6171,3418,NA,0,NA,Mid City,neighborhood
120 E N St,90744,WILMINGTON,SingleFamily,2018,33764,NA,4478,NA,NA,4,NA,Wilmington,neighborhood
16301 Akron St,90272,PACIFIC PALISADES,SingleFamily,2018,707035,1952,7453,1913,2,3,2308029,Pacific Palisades,neighborhood
932 Menlo Ave,90006,LOS ANGELES,Quadruplex,2018,95833,1911,10355,5040,4,4,1807632,MacArthur Park,neighborhood
3316 Kelton Ave,90034,LOS ANGELES,Condominium,2018,23e5,2014,6381,3481,5,4,2506846,Palms,neighborhood
3632 Military Ave,90034,LOS ANGELES,SingleFamily,2018,429129,1936,4996,1244,2,2,1229424,Palms,neighborhood
6615 Teesdale Ave,91606,NORTH HOLLYWOOD,SingleFamily,2018,406660,1947,6460,1086,2,3,642585,Valley Glen,neighborhood
925 Palms Blvd,90291,VENICE,MultiFamily2To4,2018,663562,1921,5402,3162,1,1,3664458,Venice,neighborhood
1440 W 37th Pl,90018,LOS ANGELES,SingleFamily,2018,196465,1921,6698,1848,2,3,777292,South Los Angeles,neighborhood
2208 Carmona Ave,90016,LOS ANGELES,Quadruplex,2018,606030,1963,6078,3351,6,11,1180243,Mid City,neighborhood
2208 Carmona Ave APT 2,90016,Los Angeles,Apartment,NA,NA,NA,NA,600,1,2,NA,Mid City,neighborhood
2208 Carmona Ave APT 1,90016,Los Angeles,MultiFamily2To4,NA,NA,NA,7e3,3400,6,11,1301601,Mid City,neighborhood
6101 Rod Ave,91367,WOODLAND HILLS,SingleFamily,2018,178070,1966,12260,2622,3,5,1165560,Woodland Hills,neighborhood
880 W 1st St APT 202,90012,LOS ANGELES,Condominium,2018,614556,1982,123889,1512,3,2,595571,Downtown,neighborhood
4568 W 1st St APT 202,90004,LOS ANGELES,Condominium,2018,490080,2003,30226,1407,2,2,706482,Mid Wilshire,neighborhood
15112 Weddington St,91411,Sherman Oaks,SingleFamily,2018,1361349,1949,11325,4528,4,5,2067092,Sherman Oaks,neighborhood
1457 W 35th St,90018,LOS ANGELES,SingleFamily,2018,270563,1912,4356,1232,1,2,597372,South Los Angeles,neighborhood
4540 Del Moreno Dr,91364,WOODLAND HILLS,SingleFamily,2018,1201e3,1961,17227,3065,3,4,1545048,Woodland Hills,neighborhood
